Pathway_ID,resource_id,sequence_id,Pathway LOD
Course_1_Week_10,Course1_W10-S1-L1_Introduction_1-02.txt,1,1
Course_1_Week_10,Course1_W10-S1-L2_Recap_of_GLMs_7-40.txt,2,1
Course_1_Week_10,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26.txt,3,1
Course_1_Week_10,Course1_W10-S1-L4_GLMs_for_Tagging_Part_2_7-35.txt,4,1
Course_1_Week_10,Course1_W10-S1-L5_GLMs_for_Tagging_Part_3_7-06.txt,5,1
Course_1_Week_10,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00.txt,6,1
Course_1_Week_10,Course1_W10-S2-L1_Introduction_0-37.txt,7,1
Course_1_Week_10,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21.txt,8,1
Course_1_Week_10,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53.txt,9,1
Course_1_Week_10,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59.txt,10,1
Course_1_Week_10,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28.txt,11,1
Course_1_Week_10,Course1_W10-S2-L6_Experiments_with_GLMs_for_Dep._Parsing_5-38.txt,12,1
Course_1_Week_10,Course1_W10-S2-L7_Summary_2-50.txt,13,1
Course_1_Week_1,Course1_W1-S1-L1_Introduction_Part_1_11-17.txt,1,1
Course_1_Week_1,Course1_W1-S1-L2_Introduction_Part_2_10-28.txt,2,1
Course_1_Week_1,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17.txt,3,1
Course_1_Week_1,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12.txt,4,1
Course_1_Week_1,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56.txt,5,1
Course_1_Week_1,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28.txt,6,1
Course_1_Week_1,Course1_W1-S2-L5_Trigram_Language_Models_9-40.txt,7,1
Course_1_Week_1,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36.txt,8,1
Course_1_Week_1,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46.txt,9,1
Course_1_Week_1,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35.txt,10,1
Course_1_Week_1,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26.txt,11,1
Course_1_Week_1,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34.txt,12,1
Course_1_Week_1,Course1_W1-S3-L5_Summary_2-31.txt,13,1
Course_1_Week_2,Course1_W2-S1-L1_The_Tagging_Problem_10-01.txt,1,1
Course_1_Week_2,Course1_W2-S1-L2_Generative_Models_for_Supervised_Learning_8-57.txt,2,1
Course_1_Week_2,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00.txt,3,1
Course_1_Week_2,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16.txt,4,1
Course_1_Week_2,Course1_W2-S1-L5_The_Viterbi_Algorithm_for_HMMs_Part_1_14-07.txt,5,1
Course_1_Week_2,Course1_W2-S1-L6_The_Viterbi_Algorithm_for_HMMs_Part_2_3-31.txt,6,1
Course_1_Week_2,Course1_W2-S1-L7_The_Viterbi_Algorithm_for_HMMs_Part_3_7-33.txt,7,1
Course_1_Week_2,Course1_W2-S1-L8_Summary_1-50.txt,8,1
Course_1_Week_3,Course1_W3-S1-L1_Introduction_0-28.txt,1,1
Course_1_Week_3,Course1_W3-S1-L2_Introduction_to_the_Parsing_Problem_Part_1_10-37.txt,2,1
Course_1_Week_3,Course1_W3-S1-L3_Introduction_to_the_Parsing_Problem_Part_2_4-20.txt,3,1
Course_1_Week_3,Course1_W3-S1-L4_Context-Free_Grammars_Part_1_12-11.txt,4,1
Course_1_Week_3,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22.txt,5,1
Course_1_Week_3,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32.txt,6,1
Course_1_Week_3,Course1_W3-S1-L7_A_Simple_Grammar_for_English_Part_2_5-30.txt,7,1
Course_1_Week_3,Course1_W3-S1-L8_A_Simple_Grammar_for_English_Part_3_11-21.txt,8,1
Course_1_Week_3,Course1_W3-S1-L9_A_Simple_Grammar_for_English_Part_4_2-20.txt,9,1
Course_1_Week_3,Course1_W3-S1-L10_Examples_of_Ambiguity_5-56.txt,10,1
Course_1_Week_3,Course1_W3-S2-L1_Introduction_1-12.txt,11,1
Course_1_Week_3,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43.txt,12,1
Course_1_Week_3,Course1_W3-S2-L3_Basics_of_PCFGs_Part_2_8-26.txt,13,1
Course_1_Week_3,Course1_W3-S2-L4_The_CKY_Parsing_Algorithm_Part_1__7-31.txt,14,1
Course_1_Week_3,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22.txt,15,1
Course_1_Week_3,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07.txt,16,1
Course_1_Week_4,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59.txt,1,1
Course_1_Week_4,Course1_W4-S2-L1_Introduction_00-17.txt,2,1
Course_1_Week_4,Course1_W4-S2-L2_Lexicalization_of_a_Treebank_10-44.txt,3,1
Course_1_Week_4,Course1_W4-S2-L3_Lexicalized_PCFGs-_Basic_Definitions_12-40.txt,4,1
Course_1_Week_4,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28.txt,5,1
Course_1_Week_4,Course1_W4-S2-L5_Parameter_Estimation_in_Lexicalized_PCFGs_Part_2_9-08.txt,6,1
Course_1_Week_4,Course1_W4-S2-L6_Evaluation_of_Lexicalized_PCFGs_Part_1_9-32.txt,7,1
Course_1_Week_4,Course1_W4-S2-L7_Evaluation_of_Lexicalized_PCFGs_Part_2_11-28.txt,8,1
Course_1_Week_5,Course1_W5-S1-L1_Opening_Comments_0-25.txt,6,2
Course_1_Week_5,Course1_W5-S1-L2_introduction_2-03.txt,1,2
Course_1_Week_5,Course1_W5-S1-L3_Challenges_in_MT_8-06.txt,2,2
Course_1_Week_5,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02.txt,3,2
Course_1_Week_5,Course1_W5-S1-L5_Classical_Approaches_to_MT_Part_2_5-56.txt,4,2
Course_1_Week_5,Course1_W5-S1-L6_Introduction_to_Statistical_MT_12-31.txt,5,2
Course_1_Week_5,Course1_W5-S2-L1_Introduction_3-24.txt,7,2
Course_1_Week_5,Course1_W5-S2-L2_IBM_Model_1_Part_1_13-06.txt,8,2
Course_1_Week_5,Course1_W5-S2-L3_IBM_Model_1_Part_2_9-01.txt,9,2
Course_1_Week_5,Course1_W5-S2-L4_IBM_Model_2_11-27.txt,10,2
Course_1_Week_5,Course1_W5-S2-L5_The_EM_Algorithm_for_IBM_Model_2_Part_1_5-09.txt,11,2
